airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14571
Goair,2019-05-21,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,6633
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,In-flight meal not included,9663
Jet Airways,2019-03-03,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,4050
Jet Airways,2019-06-27,Delhi,Cochin,18:20:00,19:00:00,1480,2.0,No Info,14300
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No Info,7845
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Indigo,2019-06-15,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,7010
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,23:25:00,1015,1.0,No Info,13339
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7618
Vistara,2019-05-12,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-06-12,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,12192
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,14151
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,6795
Vistara,2019-05-06,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Indigo,2019-05-18,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Spicejet,2019-05-27,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Indigo,2019-05-15,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Spicejet,2019-03-12,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No Info,6982
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Air India,2019-05-15,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,10493
Spicejet,2019-05-21,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6381
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,17501
Indigo,2019-04-06,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air Asia,2019-05-01,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,6857
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8610
Air India,2019-03-21,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,10703
Jet Airways,2019-04-06,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,5406
Indigo,2019-05-15,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6979
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,9627
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,No Info,26890
Air India,2019-04-21,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-04-24,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,5201
Spicejet,2019-04-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Indigo,2019-03-09,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,8147
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,21:20:00,855,2.0,No Info,8291
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No Info,10953
Indigo,2019-03-09,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,6144
Indigo,2019-06-03,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Air India,2019-06-09,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,10151
Indigo,2019-03-03,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,6565
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Air India,2019-03-06,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No Info,13748
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Air Asia,2019-05-18,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,8759
Indigo,2019-05-06,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Jet Airways,2019-04-01,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-05-09,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8266
Indigo,2019-06-01,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,6593
Jet Airways,2019-05-18,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Multiple Carriers,2019-05-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13727
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13941
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,16079
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14323
Spicejet,2019-06-15,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,5583
Multiple Carriers,2019-05-21,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7888
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13584
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Air India,2019-04-27,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5228
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Indigo,2019-04-21,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No Info,11717
Multiple Carriers,2019-06-15,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7408
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Indigo,2019-05-21,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Air India,2019-03-01,Banglore,New Delhi,17:00:00,22:55:00,1795,2.0,No Info,14887
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11972
Spicejet,2019-06-06,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-27,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,8574
Air India,2019-06-15,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No Info,8907
Multiple Carriers,2019-06-06,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,10678
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No Info,26890
Indigo,2019-03-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4778
Air India,2019-06-12,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,14960
Air India,2019-05-01,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8366
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,13377
Indigo,2019-04-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Multiple Carriers,2019-03-27,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,6673
Air Asia,2019-04-12,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No Info,16079
Indigo,2019-03-03,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4778
Air India,2019-05-06,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7670
Jet Airways,2019-04-03,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Spicejet,2019-05-15,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Air India,2019-05-27,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No Info,8907
Air India,2019-05-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Air Asia,2019-04-09,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,7757
Indigo,2019-06-01,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,14178
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,4482
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No Info,6152
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,18:10:00,1260,1.0,No Info,13759
Air India,2019-03-01,Banglore,New Delhi,06:45:00,09:25:00,1600,2.0,2 Long layover,26480
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,9187
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Spicejet,2019-03-18,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No Info,4465
Jet Airways,2019-05-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Spicejet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5726
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,09:25:00,1555,1.0,No Info,12080
Multiple Carriers,2019-06-27,Delhi,Cochin,11:40:00,01:30:00,830,1.0,In-flight meal not included,5797
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Indigo,2019-05-27,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Air Asia,2019-05-03,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,6181
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029
Goair,2019-06-15,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5281
Air Asia,2019-04-27,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6451
Air India,2019-05-15,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,13039
Indigo,2019-06-01,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,7060
Air India,2019-05-06,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Vistara,2019-04-06,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Air India,2019-06-01,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Air India,2019-05-18,Kolkata,Banglore,08:20:00,18:30:00,610,2.0,No Info,10907
Spicejet,2019-05-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,4991
Air India,2019-06-12,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,14714
Indigo,2019-03-03,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,4575
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6144
Spicejet,2019-05-18,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Indigo,2019-03-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4148
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,7064
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Air India,2019-06-24,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,12436
Indigo,2019-03-27,Delhi,Cochin,08:25:00,21:00:00,755,1.0,No Info,8285
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,16:45:00,1130,1.0,No Info,12395
Indigo,2019-05-09,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6496
Multiple Carriers,2019-06-27,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Air India,2019-04-09,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,9916
Indigo,2019-03-03,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,7648
Air India,2019-03-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10660
Vistara,2019-03-21,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,4878
Jet Airways,2019-06-27,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No Info,8040
Indigo,2019-06-06,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6093
Indigo,2019-03-15,Banglore,New Delhi,13:40:00,18:35:00,295,1.0,No Info,7166
Air India,2019-03-09,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,4960
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No Info,19225
Spicejet,2019-06-01,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Indigo,2019-06-01,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,04:25:00,1295,1.0,No Info,16289
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,15851
Multiple Carriers,2019-05-15,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,8820
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,8614
Indigo,2019-05-24,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,4332
Jet Airways,2019-05-01,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Air India,2019-05-09,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,12592
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,13374
Air India,2019-03-12,Mumbai,Hyderabad,05:05:00,16:55:00,710,2.0,No Info,16172
Vistara,2019-05-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Indigo,2019-06-09,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Jet Airways,2019-03-06,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,9536
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-05-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12373
Jet Airways,2019-05-12,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Spicejet,2019-06-27,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Indigo,2019-03-21,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4462
Spicejet,2019-05-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,14151
Goair,2019-03-09,Banglore,New Delhi,15:50:00,20:15:00,265,1.0,No Info,7657
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,14151
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2437
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,No Info,14178
